Name,Country,Height (cm),Weight (kg),Gender,Competition Time (s),Event Date,Competition,Position,Current Age,Competition Years,Best Time (s),IMC,Training Hours/Week,Last Injury,Entrenador,Historial de competencias,Nivel de Competencia,Categoria IMC
Nadador_profesional_605,USA,187.8,81.51,0,63.01,18/07/2024,Regional Meet,8,36,5,63,23.11,19,Sin lesiones,Entrenador C,20 competencias,Profesional,Normal
Nadador_profesional_545,Australia,183.22,84.63,0,64.36,05/02/2024,Local Meet,1,40,23,63.19,25.21,14,01/11/2020,Entrenador D,20 competencias,Profesional,Sobrepeso
Nadador_profesional_941,USA,190.96,99.34,0,58.43,12/11/2024,Local Meet,3,40,17,56.61,27.24,12,20/06/2022,Entrenador D,15 competencias,Profesional,Sobrepeso
Nadador_profesional_578,Japan,181.61,77.14,0,62.14,22/11/2023,National Championships,8,38,8,61.63,23.39,11,01/11/2020,Entrenador A,20 competencias,Profesional,Normal
Nadador_profesional_511,Brazil,181.54,63.43,0,59.54,22/12/2022,Local Meet,6,36,1,57.56,19.25,11,15/01/2021,Entrenador C,20 competencias,Profesional,Normal
Nadador_profesional_745,China,192.64,76.92,0,66.15,26/03/2023,National Championships,6,39,13,65.03,20.73,14,01/11/2020,Entrenador D,15 competencias,Profesional,Normal
Nadador_profesional_78,Russia,180.57,73.78,0,65.99,05/04/2024,State Meet,7,38,14,64.83,22.63,16,Sin lesiones,Entrenador B,15 competencias,Profesional,Normal
Nadador_profesional_462,Australia,184.74,95.15,0,63.14,26/08/2023,State Meet,8,37,10,61.24,27.88,19,20/06/2022,Entrenador C,10 competencias,Profesional,Sobrepeso
Nadador_profesional_290,China,193.7,65.99,0,59.13,02/05/2023,Regional Meet,10,39,9,57.94,17.59,18,01/11/2020,Entrenador A,10 competencias,Profesional,Bajo peso
Nadador_profesional_192,Russia,184.8,90,0,59.7,12/04/2023,National Championships,3,37,11,59.54,26.35,11,Sin lesiones,Entrenador B,5 competencias,Profesional,Sobrepeso
Nadador_profesional_430,China,193.73,90.28,0,58.19,17/12/2022,State Meet,7,38,15,56.75,24.05,20,25/05/2019,Entrenador A,10 competencias,Profesional,Normal
Nadador_profesional_65,Russia,181.8,68.38,0,63.68,21/10/2023,National Championships,1,40,7,61.89,20.69,17,01/11/2020,Entrenador C,5 competencias,Profesional,Normal
Nadador_profesional_155,China,191.39,90.58,0,64.02,03/08/2024,State Meet,5,40,22,63.72,24.73,11,Sin lesiones,Entrenador D,5 competencias,Profesional,Normal
Nadador_profesional_105,Japan,188.48,97.75,0,60.32,02/01/2023,Local Meet,6,39,4,60.07,27.52,15,01/11/2020,Entrenador B,5 competencias,Profesional,Sobrepeso
Nadador_profesional_859,Australia,189.58,62.61,0,64.12,17/11/2022,Local Meet,10,38,23,62.52,17.42,15,10/02/2023,Entrenador D,25 competencias,Profesional,Bajo peso
Nadador_profesional_806,Russia,185.97,63.65,0,62.96,15/10/2024,National Championships,10,38,20,62.44,18.4,17,01/11/2020,Entrenador B,20 competencias,Profesional,Bajo peso
Nadador_profesional_801,Australia,188.35,89.47,0,60.24,02/04/2024,National Championships,6,37,12,58.48,25.22,20,25/05/2019,Entrenador A,25 competencias,Profesional,Sobrepeso
Nadador_profesional_433,Australia,182.8,83.37,0,60.3,07/10/2023,National Championships,6,40,15,58.9,24.95,11,01/11/2020,Entrenador B,10 competencias,Profesional,Normal
Nadador_profesional_275,China,182.49,98.66,0,58.78,21/07/2023,Regional Meet,9,39,19,57.71,29.63,14,25/05/2019,Entrenador C,5 competencias,Profesional,Sobrepeso
Nadador_profesional_339,Brazil,181.62,86.48,0,57.49,23/05/2023,Regional Meet,8,40,16,57.49,26.22,17,Sin lesiones,Entrenador C,20 competencias,Profesional,Sobrepeso
Nadador_profesional_66,Japan,183.32,85.05,0,59.49,17/04/2023,Local Meet,5,40,14,57.82,25.31,17,25/05/2019,Entrenador A,25 competencias,Profesional,Sobrepeso
Nadador_profesional_229,China,187.64,82.96,0,65.62,07/10/2024,Regional Meet,1,36,5,64.99,23.56,20,Sin lesiones,Entrenador A,25 competencias,Profesional,Normal
Nadador_profesional_324,Japan,192.73,90.25,0,61.24,15/08/2023,State Meet,4,38,16,60.13,24.3,14,01/11/2020,Entrenador A,20 competencias,Profesional,Normal
Nadador_profesional_949,China,187.42,67.48,0,61.93,25/02/2023,National Championships,2,36,9,60.21,19.21,11,10/02/2023,Entrenador C,10 competencias,Profesional,Normal
Nadador_profesional_720,Brazil,190.08,80.93,0,63.39,02/01/2023,Local Meet,9,37,6,61.8,22.4,10,15/01/2021,Entrenador D,25 competencias,Profesional,Normal
Nadador_profesional_144,Russia,194.88,95.69,0,57.58,03/01/2023,Regional Meet,6,36,17,57,25.2,11,Sin lesiones,Entrenador A,10 competencias,Profesional,Sobrepeso
Nadador_profesional_118,Russia,188.77,78.41,0,58.13,12/12/2023,Local Meet,3,38,13,57.96,22,20,10/02/2023,Entrenador C,10 competencias,Profesional,Normal
Nadador_profesional_113,Japan,184.1,67.19,0,60.55,15/05/2023,Regional Meet,1,38,10,59.02,19.82,12,20/06/2022,Entrenador B,20 competencias,Profesional,Normal
Nadador_profesional_943,USA,188.73,70.59,0,60.98,20/07/2023,National Championships,7,40,14,60.23,19.82,20,Sin lesiones,Entrenador A,25 competencias,Profesional,Normal
Nadador_profesional_58,Russia,186.78,61.63,0,62.6,18/12/2022,State Meet,1,39,15,60.73,17.67,11,15/01/2021,Entrenador C,10 competencias,Profesional,Bajo peso
Nadador_profesional_97,Brazil,186.62,76.35,0,61.2,22/06/2024,Local Meet,8,37,11,59.74,21.92,10,01/11/2020,Entrenador B,15 competencias,Profesional,Normal
Nadador_profesional_997,USA,177.86,92.6,1,62.59,05/05/2024,National Championships,6,20,5,62.21,29.27,12,01/11/2020,Entrenador A,20 competencias,Profesional,Sobrepeso
Nadador_profesional_42,China,171.36,97.11,1,62.9,15/05/2023,State Meet,9,20,5,62.69,33.07,18,25/05/2019,Entrenador B,15 competencias,Profesional,Obesidad
Nadador_profesional_945,Russia,170.08,92.11,1,62.49,09/04/2024,National Championships,7,18,3,61.76,31.84,12,15/01/2021,Entrenador D,25 competencias,Profesional,Obesidad
Nadador_profesional_880,Japan,170.68,80.94,1,62.93,19/12/2022,Local Meet,8,19,1,61.48,27.78,12,01/11/2020,Entrenador C,20 competencias,Profesional,Sobrepeso
Nadador_profesional_840,Australia,176.96,70.26,1,61.05,12/04/2023,State Meet,2,18,3,61,22.44,17,25/05/2019,Entrenador C,25 competencias,Profesional,Normal
Nadador_profesional_69,China,168.45,62.14,1,61.33,07/12/2022,Regional Meet,5,24,7,61.17,21.9,14,10/02/2023,Entrenador D,10 competencias,Profesional,Normal
Nadador_profesional_558,Japan,178.35,91.07,1,61.52,26/08/2024,National Championships,1,19,4,60.88,28.63,13,01/11/2020,Entrenador D,20 competencias,Profesional,Sobrepeso
Nadador_profesional_521,Japan,178.16,63.69,1,63.3,25/09/2024,Local Meet,4,21,4,61.38,20.07,17,01/11/2020,Entrenador D,10 competencias,Profesional,Normal
Nadador_profesional_688,China,171.76,90.61,1,61.97,29/01/2024,Local Meet,5,18,1,61.51,30.71,14,Sin lesiones,Entrenador D,25 competencias,Profesional,Obesidad
Nadador_profesional_852,Brazil,175.66,98.49,1,62.39,03/02/2023,Regional Meet,1,24,6,61.79,31.92,13,01/11/2020,Entrenador A,20 competencias,Profesional,Obesidad
Nadador_profesional_749,China,179.94,80.45,1,60.52,04/12/2022,Local Meet,7,19,1,59.84,24.85,14,01/11/2020,Entrenador B,20 competencias,Profesional,Normal
Nadador_profesional_145,Russia,173.04,70.02,1,67.33,02/08/2024,Local Meet,1,23,6,66.06,23.38,17,Sin lesiones,Entrenador A,5 competencias,Profesional,Normal
Nadador_profesional_613,USA,176.04,89.27,1,62.29,13/08/2023,Regional Meet,10,19,1,61.18,28.81,20,01/11/2020,Entrenador A,10 competencias,Profesional,Sobrepeso
Nadador_profesional_424,Japan,173.27,63.7,1,59.19,22/11/2022,National Championships,7,24,6,58.95,21.22,14,25/05/2019,Entrenador C,10 competencias,Profesional,Normal
Nadador_profesional_491,Australia,172.44,74.84,1,63.58,22/11/2023,National Championships,5,18,2,61.94,25.17,11,15/01/2021,Entrenador C,25 competencias,Profesional,Sobrepeso
Nadador_profesional_446,Japan,175.54,60.55,1,60.32,25/04/2023,National Championships,4,18,2,59.03,19.65,12,20/06/2022,Entrenador A,20 competencias,Profesional,Normal
Nadador_profesional_176,Russia,177.57,79.55,1,63.74,26/11/2023,National Championships,3,18,2,62.65,25.23,13,10/02/2023,Entrenador B,15 competencias,Profesional,Sobrepeso
Nadador_profesional_811,Japan,175.01,88.65,1,63.9,24/01/2023,National Championships,7,20,1,63.1,28.94,10,15/01/2021,Entrenador A,5 competencias,Profesional,Sobrepeso
Nadador_profesional_27,Brazil,172.45,92.82,1,62.69,11/04/2023,Regional Meet,2,21,1,62.57,31.21,10,20/06/2022,Entrenador A,15 competencias,Profesional,Obesidad
Nadador_profesional_595,Australia,179.48,77.78,1,64.95,20/08/2024,State Meet,8,22,4,63.08,24.15,17,25/05/2019,Entrenador B,10 competencias,Profesional,Normal
Nadador_profesional_23,Japan,174.84,76.94,1,62.28,08/06/2023,State Meet,8,22,1,61.19,25.17,13,15/01/2021,Entrenador B,10 competencias,Profesional,Sobrepeso
Nadador_profesional_371,China,173.59,96.96,1,59.11,21/07/2024,National Championships,2,23,1,57.89,32.18,13,10/02/2023,Entrenador B,15 competencias,Profesional,Obesidad
Nadador_profesional_167,Australia,179.11,75.04,1,60.28,27/11/2022,State Meet,4,21,2,58.5,23.39,10,10/02/2023,Entrenador D,20 competencias,Profesional,Normal
Nadador_profesional_513,Russia,177.08,67.43,1,65.64,27/12/2022,National Championships,5,18,3,65.07,21.5,18,Sin lesiones,Entrenador A,25 competencias,Profesional,Normal
Nadador_profesional_281,China,178.35,87.64,1,62.69,25/05/2023,State Meet,2,20,4,62.46,27.55,17,20/06/2022,Entrenador C,10 competencias,Profesional,Sobrepeso
Nadador_profesional_557,Brazil,169.98,94.03,1,65.85,06/02/2024,National Championships,2,21,3,65.33,32.54,18,10/02/2023,Entrenador D,25 competencias,Profesional,Obesidad
Nadador_profesional_252,Japan,173.16,75.94,1,61.21,15/03/2024,National Championships,4,22,5,59.58,25.33,17,01/11/2020,Entrenador A,10 competencias,Profesional,Sobrepeso
Nadador_profesional_119,Japan,179.61,96.3,1,60.89,08/10/2023,State Meet,10,23,1,59.17,29.85,18,Sin lesiones,Entrenador A,5 competencias,Profesional,Sobrepeso
Nadador_profesional_915,China,176.31,76,1,64.73,02/04/2024,Local Meet,6,20,1,64.07,24.45,18,10/02/2023,Entrenador B,20 competencias,Profesional,Normal
Nadador_profesional_136,Brazil,176.85,81.76,1,63.3,07/11/2024,Regional Meet,6,19,4,63.08,26.14,13,25/05/2019,Entrenador D,20 competencias,Profesional,Sobrepeso
Nadador_profesional_502,USA,174.61,64.15,1,63.35,06/10/2024,National Championships,4,20,2,61.43,21.04,17,01/11/2020,Entrenador C,15 competencias,Profesional,Normal
Nadador_profesional_497,China,178.95,74.09,1,58.81,06/01/2024,Regional Meet,4,24,9,57.85,23.14,10,Sin lesiones,Entrenador D,5 competencias,Profesional,Normal
Nadador_profesional_637,China,174.34,72.11,1,58.76,31/03/2024,State Meet,8,19,2,57.86,23.72,13,15/01/2021,Entrenador A,15 competencias,Profesional,Normal
Nadador_profesional_239,Japan,170.05,81.65,1,63.22,24/05/2023,Regional Meet,9,19,3,62.39,28.24,17,20/06/2022,Entrenador C,25 competencias,Profesional,Sobrepeso
Nadador_profesional_192,China,177.52,66.06,1,64.96,13/12/2022,National Championships,5,18,1,63.48,20.96,15,10/02/2023,Entrenador D,20 competencias,Profesional,Normal
Nadador_profesional_28,Russia,168.65,98.4,1,63.51,19/09/2023,State Meet,9,19,3,63.33,34.6,10,25/05/2019,Entrenador C,20 competencias,Profesional,Obesidad
Nadador_profesional_757,Brazil,171.6,70.1,1,61.37,01/08/2023,State Meet,3,24,3,60.93,23.81,16,15/01/2021,Entrenador D,15 competencias,Profesional,Normal
Nadador_profesional_853,Brazil,179.47,79.48,1,59.9,16/05/2023,National Championships,2,23,5,59.31,24.68,13,Sin lesiones,Entrenador D,25 competencias,Profesional,Normal
Nadador_profesional_372,Australia,172.08,99.92,1,66.27,09/12/2022,Local Meet,3,20,5,65.69,33.74,12,15/01/2021,Entrenador C,25 competencias,Profesional,Obesidad
Nadador_profesional_536,Japan,174.71,80.92,1,58.86,09/02/2023,State Meet,7,23,2,57.7,26.51,15,25/05/2019,Entrenador B,5 competencias,Profesional,Sobrepeso
Nadador_profesional_660,Japan,179.63,70.7,1,64.64,26/06/2023,Regional Meet,8,23,2,64.22,21.91,10,25/05/2019,Entrenador A,15 competencias,Profesional,Normal
Nadador_profesional_213,Russia,173.56,89.18,1,65.65,08/07/2024,Regional Meet,4,18,2,64.5,29.61,15,10/02/2023,Entrenador B,15 competencias,Profesional,Sobrepeso
Nadador_profesional_658,USA,170.81,69.11,1,66.82,27/08/2024,Local Meet,9,22,1,65.25,23.69,16,01/11/2020,Entrenador B,20 competencias,Profesional,Normal
Nadador_profesional_80,Brazil,171.37,73.2,1,63.56,25/09/2024,State Meet,7,24,9,61.71,24.93,13,10/02/2023,Entrenador D,10 competencias,Profesional,Normal
Nadador_profesional_980,Russia,178.58,80.59,1,64.75,30/04/2023,State Meet,8,21,6,63.02,25.27,11,20/06/2022,Entrenador D,10 competencias,Profesional,Sobrepeso
Nadador_profesional_268,China,170.53,64.66,1,67.09,22/07/2023,Local Meet,3,22,3,65.49,22.23,10,01/11/2020,Entrenador D,15 competencias,Profesional,Normal
Nadador_profesional_303,Japan,172.84,86.27,1,67.91,12/06/2024,Local Meet,1,19,4,66.98,28.88,10,01/11/2020,Entrenador B,5 competencias,Profesional,Sobrepeso
Nadador_profesional_31,Japan,174.36,64.62,1,62.68,24/10/2024,Local Meet,2,22,1,61.75,21.26,16,25/05/2019,Entrenador D,5 competencias,Profesional,Normal
Nadador_profesional_702,China,173.99,67.03,1,60.89,14/01/2024,Local Meet,9,21,4,59.16,22.14,13,10/02/2023,Entrenador A,5 competencias,Profesional,Normal
Nadador_profesional_491,Brazil,170.84,63.34,1,65.08,25/10/2024,National Championships,6,24,9,64.13,21.7,19,20/06/2022,Entrenador C,25 competencias,Profesional,Normal
Nadador_profesional_874,Russia,172.61,65.21,1,68.06,04/01/2024,Local Meet,5,35,19,66.08,21.89,11,20/06/2022,Entrenador B,25 competencias,Profesional,Normal
Nadador_profesional_542,Brazil,179.11,98.84,1,65.75,05/09/2024,Local Meet,9,34,16,64.68,30.81,12,10/02/2023,Entrenador B,20 competencias,Profesional,Obesidad
Nadador_profesional_718,Russia,175.52,77.84,1,64.99,05/12/2023,Local Meet,3,28,6,64.39,25.27,10,Sin lesiones,Entrenador D,25 competencias,Profesional,Sobrepeso
Nadador_profesional_979,USA,172.43,91.31,1,72.41,25/10/2023,Regional Meet,7,33,15,71.55,30.71,13,10/02/2023,Entrenador C,20 competencias,Profesional,Obesidad
Nadador_profesional_408,Russia,172.1,64.44,1,60.77,19/11/2022,State Meet,10,32,6,60.72,21.76,16,10/02/2023,Entrenador B,10 competencias,Profesional,Normal
Nadador_profesional_36,Russia,170.8,76.95,1,63.65,29/06/2023,National Championships,4,32,11,61.66,26.38,12,01/11/2020,Entrenador C,20 competencias,Profesional,Sobrepeso
Nadador_profesional_15,USA,174.09,72.41,1,61.97,09/09/2023,Regional Meet,6,30,15,60.8,23.89,17,15/01/2021,Entrenador B,15 competencias,Profesional,Normal
Nadador_profesional_351,Russia,175.84,78.59,1,66.47,16/11/2023,State Meet,9,30,1,65.75,25.42,15,01/11/2020,Entrenador C,15 competencias,Profesional,Sobrepeso
Nadador_profesional_503,Japan,170.68,77.76,1,58.66,26/01/2024,National Championships,2,26,9,57.38,26.69,14,20/06/2022,Entrenador A,5 competencias,Profesional,Sobrepeso
Nadador_profesional_342,USA,178.55,83.76,1,59.28,20/11/2023,State Meet,6,30,11,57.66,26.27,12,25/05/2019,Entrenador C,20 competencias,Profesional,Sobrepeso
Nadador_profesional_874,Brazil,172.46,80.67,1,69.62,10/01/2024,State Meet,2,27,11,69.21,27.12,17,15/01/2021,Entrenador C,5 competencias,Profesional,Sobrepeso
Nadador_profesional_291,Brazil,179.84,66.92,1,69.04,27/03/2023,Local Meet,7,32,2,68.17,20.69,12,15/01/2021,Entrenador D,15 competencias,Profesional,Normal
Nadador_profesional_202,China,168.49,89.79,1,65.85,08/05/2023,Regional Meet,5,32,14,65.08,31.63,20,10/02/2023,Entrenador B,5 competencias,Profesional,Obesidad
Nadador_profesional_443,Australia,175.32,67.48,1,59.84,16/09/2023,National Championships,1,33,7,59.11,21.95,13,25/05/2019,Entrenador A,5 competencias,Profesional,Normal
Nadador_profesional_934,Russia,172.34,85.11,1,58.52,13/11/2023,State Meet,3,35,11,57.44,28.66,18,20/06/2022,Entrenador A,15 competencias,Profesional,Sobrepeso
Nadador_profesional_840,Japan,179.33,89.37,1,69.92,22/03/2023,Regional Meet,10,34,13,69.65,27.79,20,01/11/2020,Entrenador C,5 competencias,Profesional,Sobrepeso
Nadador_profesional_399,Japan,174.89,86.16,1,61.58,21/01/2023,Regional Meet,5,28,1,61.02,28.17,19,10/02/2023,Entrenador C,15 competencias,Profesional,Sobrepeso
Nadador_profesional_922,Russia,175.26,87.45,1,59.24,30/07/2024,National Championships,1,35,5,57.58,28.47,16,20/06/2022,Entrenador D,20 competencias,Profesional,Sobrepeso
Nadador_profesional_16,China,168.14,78.37,1,71.48,22/02/2023,Local Meet,7,25,4,69.84,27.72,15,15/01/2021,Entrenador B,25 competencias,Profesional,Sobrepeso
Nadador_profesional_102,Brazil,178.35,91.75,1,59.51,06/03/2023,Regional Meet,7,26,2,58.55,28.84,13,15/01/2021,Entrenador B,15 competencias,Profesional,Sobrepeso
Nadador_profesional_555,China,179.47,76.02,1,59.28,07/09/2023,Local Meet,4,27,5,58.21,23.6,19,15/01/2021,Entrenador C,20 competencias,Profesional,Normal
Nadador_profesional_487,USA,177.28,65.18,1,69.81,12/04/2024,State Meet,6,32,1,67.91,20.74,12,10/02/2023,Entrenador A,20 competencias,Profesional,Normal
Nadador_profesional_685,China,171.91,65.63,1,69.21,14/01/2024,National Championships,9,26,2,68.61,22.21,15,10/02/2023,Entrenador B,10 competencias,Profesional,Normal
Nadador_profesional_114,USA,175.68,96.38,1,60.15,19/01/2023,Local Meet,3,28,4,58.85,31.23,17,25/05/2019,Entrenador C,10 competencias,Profesional,Obesidad
Nadador_profesional_136,Australia,174.63,94.18,1,72.39,04/02/2023,State Meet,5,34,3,70.41,30.88,13,Sin lesiones,Entrenador D,20 competencias,Profesional,Obesidad
Nadador_profesional_223,Russia,173.57,95.3,1,61.79,18/04/2023,Local Meet,10,29,7,61.52,31.63,20,Sin lesiones,Entrenador A,15 competencias,Profesional,Obesidad
Nadador_profesional_664,Russia,169.96,95.7,1,65.97,25/04/2023,Regional Meet,1,34,3,65.05,33.13,20,25/05/2019,Entrenador D,15 competencias,Profesional,Obesidad
Nadador_profesional_830,Japan,173.2,61.15,1,70.99,13/10/2024,State Meet,5,33,10,70.18,20.38,19,25/05/2019,Entrenador C,10 competencias,Profesional,Normal
Nadador_profesional_532,Russia,169,80.95,1,64.61,31/12/2022,Local Meet,2,29,3,63.81,28.34,16,10/02/2023,Entrenador C,10 competencias,Profesional,Sobrepeso
Nadador_profesional_465,Russia,175.53,83.08,1,61.18,02/07/2024,National Championships,8,33,12,60.85,26.96,18,20/06/2022,Entrenador A,25 competencias,Profesional,Sobrepeso
Nadador_profesional_745,Japan,170.49,62.32,1,70.01,11/02/2023,Local Meet,6,30,10,68.9,21.44,12,15/01/2021,Entrenador B,25 competencias,Profesional,Normal
Nadador_profesional_290,Japan,173.55,63.34,1,70.17,15/05/2024,Local Meet,7,27,8,69.32,21.03,12,Sin lesiones,Entrenador A,10 competencias,Profesional,Normal
Nadador_profesional_229,China,177.1,63.68,1,69.68,24/03/2024,Local Meet,1,33,9,68.02,20.3,11,25/05/2019,Entrenador B,10 competencias,Profesional,Normal
Nadador_profesional_982,Brazil,169.51,67.4,1,62.17,31/07/2024,Local Meet,2,34,10,61.53,23.46,12,01/11/2020,Entrenador B,10 competencias,Profesional,Normal
Nadador_profesional_843,Japan,171.01,96.55,1,57.51,05/08/2023,Local Meet,6,28,8,55.81,33.01,20,01/11/2020,Entrenador D,20 competencias,Profesional,Obesidad
Nadador_profesional_614,China,178.31,83.93,1,70.83,30/10/2023,Regional Meet,1,26,4,69.9,26.4,15,20/06/2022,Entrenador D,10 competencias,Profesional,Sobrepeso
Nadador_profesional_647,Japan,172.13,95.26,1,70.5,31/05/2023,State Meet,6,32,11,69.26,32.15,17,10/02/2023,Entrenador C,25 competencias,Profesional,Obesidad
Nadador_profesional_46,Russia,172.74,95.31,1,67.73,16/02/2023,State Meet,3,31,11,67.01,31.94,11,20/06/2022,Entrenador A,10 competencias,Profesional,Obesidad
Nadador_profesional_16,Australia,170.78,96.17,1,70.08,30/04/2024,Regional Meet,8,35,1,68.23,32.97,16,Sin lesiones,Entrenador C,10 competencias,Profesional,Obesidad
Nadador_profesional_603,Russia,179.83,82.99,1,71.62,29/05/2023,National Championships,8,35,13,70.9,25.66,15,10/02/2023,Entrenador A,10 competencias,Profesional,Sobrepeso
Nadador_profesional_820,Brazil,175.63,61.27,1,64.12,07/05/2024,Regional Meet,9,35,5,62.81,19.86,19,20/06/2022,Entrenador D,15 competencias,Profesional,Normal
Nadador_profesional_253,Japan,172.85,93.24,1,65.1,18/04/2023,State Meet,6,34,11,64.8,31.21,10,10/02/2023,Entrenador C,20 competencias,Profesional,Obesidad
Nadador_profesional_268,China,179.83,82.51,1,59.53,08/01/2023,National Championships,7,25,10,57.56,25.51,15,15/01/2021,Entrenador C,15 competencias,Profesional,Sobrepeso
Nadador_profesional_736,Russia,170.31,81.42,1,71.75,04/03/2023,State Meet,8,25,2,70.77,28.07,18,01/11/2020,Entrenador B,10 competencias,Profesional,Sobrepeso
Nadador_profesional_161,USA,171.87,79.98,1,60.6,13/09/2023,National Championships,6,28,4,59.74,27.08,20,15/01/2021,Entrenador A,15 competencias,Profesional,Sobrepeso
Nadador_profesional_975,Australia,173.58,76.55,1,68.82,28/05/2024,State Meet,4,29,8,67.23,25.41,19,10/02/2023,Entrenador C,10 competencias,Profesional,Sobrepeso
Nadador_profesional_989,Brazil,168.56,84.08,1,69.42,01/06/2023,Local Meet,2,26,2,69.06,29.59,13,01/11/2020,Entrenador A,15 competencias,Profesional,Sobrepeso
Nadador_profesional_489,Japan,170.09,66.55,1,65.1,07/12/2022,State Meet,5,34,19,64.07,23,15,15/01/2021,Entrenador A,5 competencias,Profesional,Normal
Nadador_profesional_117,Japan,178.73,82.29,1,68.57,14/07/2023,Regional Meet,10,30,9,67.19,25.76,19,20/06/2022,Entrenador D,15 competencias,Profesional,Sobrepeso
Nadador_profesional_549,Japan,179.92,65.27,1,65,08/06/2024,National Championships,4,28,13,63.96,20.16,13,15/01/2021,Entrenador A,10 competencias,Profesional,Normal
Nadador_profesional_114,Japan,168.69,65.73,1,56.54,18/06/2024,National Championships,1,38,9,55.47,23.1,14,Sin lesiones,Entrenador B,15 competencias,Profesional,Normal
Nadador_profesional_78,Australia,176.24,85.66,1,63.02,01/09/2024,State Meet,9,40,13,61.14,27.58,11,20/06/2022,Entrenador B,5 competencias,Profesional,Sobrepeso
Nadador_profesional_18,Russia,175.87,65.04,1,62.96,30/07/2023,Regional Meet,7,39,9,62.08,21.03,18,15/01/2021,Entrenador C,15 competencias,Profesional,Normal
Nadador_profesional_742,Japan,171.56,79.73,1,65.08,05/05/2024,Local Meet,10,38,6,64.8,27.09,15,15/01/2021,Entrenador C,15 competencias,Profesional,Sobrepeso
Nadador_profesional_262,Brazil,173.88,82.58,1,63.04,02/12/2022,Regional Meet,10,36,13,61.64,27.31,11,20/06/2022,Entrenador D,15 competencias,Profesional,Sobrepeso
Nadador_profesional_123,Australia,179.54,95.97,1,56.85,21/04/2023,National Championships,10,36,12,55.45,29.77,13,20/06/2022,Entrenador A,20 competencias,Profesional,Sobrepeso
Nadador_profesional_318,USA,175.17,64.2,1,61.81,10/07/2024,National Championships,3,38,15,61.51,20.92,20,20/06/2022,Entrenador D,25 competencias,Profesional,Normal
Nadador_profesional_991,Russia,178.09,83.61,1,60.82,10/01/2024,Regional Meet,9,36,7,60.78,26.36,19,20/06/2022,Entrenador D,25 competencias,Profesional,Sobrepeso
Nadador_profesional_294,Russia,169.93,83.31,1,59.48,27/04/2023,State Meet,1,40,11,57.79,28.85,17,Sin lesiones,Entrenador B,15 competencias,Profesional,Sobrepeso
Nadador_profesional_790,Australia,174.59,80.24,1,61.98,05/04/2023,Regional Meet,2,39,13,61.86,26.32,20,20/06/2022,Entrenador C,10 competencias,Profesional,Sobrepeso
Nadador_profesional_639,Brazil,170.95,61.2,1,59.03,13/11/2024,State Meet,8,40,14,57.18,20.94,19,10/02/2023,Entrenador A,25 competencias,Profesional,Normal
Nadador_profesional_173,Japan,170,85.07,1,57.36,21/10/2023,Local Meet,7,36,12,57.33,29.44,13,01/11/2020,Entrenador C,20 competencias,Profesional,Sobrepeso
Nadador_profesional_810,Japan,170.9,83.71,1,63.8,20/05/2023,National Championships,1,36,13,63.72,28.66,14,15/01/2021,Entrenador A,20 competencias,Profesional,Sobrepeso
Nadador_profesional_612,USA,171.11,84.39,1,60.59,14/09/2024,Local Meet,9,37,15,59.08,28.82,13,20/06/2022,Entrenador C,5 competencias,Profesional,Sobrepeso
Nadador_profesional_9,Australia,168.96,82.03,1,62.87,06/11/2024,State Meet,4,39,24,62.45,28.73,10,01/11/2020,Entrenador B,5 competencias,Profesional,Sobrepeso
Nadador_profesional_254,China,175.13,70.7,1,59.94,12/09/2024,State Meet,2,38,9,59.88,23.05,12,10/02/2023,Entrenador A,25 competencias,Profesional,Normal
Nadador_profesional_171,Russia,173.33,96.44,1,57.45,16/01/2023,National Championships,10,38,21,56.8,32.1,14,10/02/2023,Entrenador D,15 competencias,Profesional,Obesidad
Nadador_profesional_508,Japan,169.01,80.58,1,61.67,06/04/2024,National Championships,9,39,2,60.48,28.21,15,Sin lesiones,Entrenador D,5 competencias,Profesional,Sobrepeso
Nadador_profesional_336,Japan,177.15,93.41,1,59,09/03/2024,State Meet,6,37,2,57.63,29.77,10,20/06/2022,Entrenador A,10 competencias,Profesional,Sobrepeso
Nadador_profesional_954,China,170.33,68.04,1,62.51,26/11/2022,Local Meet,8,37,14,61.66,23.45,12,10/02/2023,Entrenador B,25 competencias,Profesional,Normal
Nadador_profesional_726,Russia,176.64,67.65,1,58.35,03/05/2023,Regional Meet,10,40,21,56.72,21.68,19,01/11/2020,Entrenador C,10 competencias,Profesional,Normal
Nadador_profesional_690,Japan,172.07,72.59,1,56.26,17/05/2024,Regional Meet,5,36,4,54.58,24.52,11,15/01/2021,Entrenador C,20 competencias,Profesional,Normal
Nadador_profesional_253,USA,171.83,87.74,1,61.95,09/03/2023,Regional Meet,1,36,1,60.06,29.72,16,25/05/2019,Entrenador B,10 competencias,Profesional,Sobrepeso
Nadador_profesional_809,Russia,172.34,77.06,1,60.27,22/06/2024,National Championships,5,39,2,60.18,25.95,10,25/05/2019,Entrenador C,20 competencias,Profesional,Sobrepeso
Nadador_profesional_347,China,176.65,97.36,1,60.28,04/10/2023,State Meet,6,38,21,59.56,31.2,10,15/01/2021,Entrenador C,15 competencias,Profesional,Obesidad
Nadador_profesional_668,Russia,176.5,62.4,1,66.3,24/11/2022,State Meet,6,36,14,64.58,20.03,15,01/11/2020,Entrenador B,20 competencias,Profesional,Normal
